model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
IMF,absolute,rolling window,ngdp_rpch,0,0.258887721640974,0.12161360755479,0.0500102040275226,0.0872639100586622,0.63859068350256,1.25600906919031,0.756598164555956,0.166666666666667,0.238095238095238,0.392857142857143,0.476190476190476,0.523809523809524,0.595238095238095,0.678571428571429,0.773809523809524,0.916666666666667,0.0476190476190476,0.119047619047619,0.19047619047619,0.25,0.285714285714286,0.30952380952381,0.357142857142857,0.440476190476191,0.476190476190476,0.642857142857143,0.678571428571429,0.75,0.785714285714286,0.80952380952381,0.845238095238095,0.869047619047619,0.892857142857143,0.964285714285714
IMF,absolute,rolling window,ngdp_rpch,0.5,0.482250109449812,0.25558353163931,0.0898711158817881,0.136795461928713,1.33932740613805,2.36739571136082,1.50089674730689,0.214285714285714,0.261904761904762,0.380952380952381,0.523809523809524,0.595238095238095,0.666666666666667,0.761904761904762,0.797619047619048,0.857142857142857,0.0952380952380952,0.130952380952381,0.142857142857143,0.238095238095238,0.285714285714286,0.30952380952381,0.392857142857143,0.452380952380952,0.488095238095238,0.702380952380952,0.714285714285714,0.773809523809524,0.833333333333333,0.880952380952381,0.904761904761905,0.904761904761905,0.928571428571429,0.952380952380952
IMF,absolute,rolling window,ngdp_rpch,1,1.0108745253184,0.369363519387787,0.0890457959317271,0.55246520999889,2.05241994467888,3.2944851920883,2.24801569395819,0.166666666666667,0.25,0.333333333333333,0.392857142857143,0.464285714285714,0.535714285714286,0.642857142857143,0.726190476190476,0.797619047619048,0.178571428571429,0.238095238095238,0.30952380952381,0.380952380952381,0.404761904761905,0.452380952380952,0.488095238095238,0.523809523809524,0.583333333333333,0.75,0.773809523809524,0.821428571428571,0.845238095238095,0.869047619047619,0.916666666666667,0.952380952380952,0.964285714285714,0.976190476190476
IMF,absolute,rolling window,ngdp_rpch,1.5,1.28481252224158,0.413938997643832,0.151537371334628,0.719336153263119,2.28305839972098,3.72309871350153,2.52769089980485,0.154761904761905,0.19047619047619,0.285714285714286,0.357142857142857,0.476190476190476,0.523809523809524,0.619047619047619,0.642857142857143,0.678571428571429,0.261904761904762,0.297619047619048,0.321428571428571,0.369047619047619,0.392857142857143,0.476190476190476,0.535714285714286,0.607142857142857,0.642857142857143,0.797619047619048,0.797619047619048,0.821428571428571,0.833333333333333,0.869047619047619,0.892857142857143,0.940476190476191,0.940476190476191,0.940476190476191
IMF,absolute,rolling window,pcpi_pch,0,0.136355587992265,0.0635450298313639,0.0297005846890809,0.0431099734718204,0.354884947864239,0.648254908886,0.392179834637314,0.25,0.333333333333333,0.416666666666667,0.5,0.547619047619048,0.619047619047619,0.738095238095238,0.797619047619048,0.857142857142857,0.0714285714285714,0.107142857142857,0.130952380952381,0.178571428571429,0.202380952380952,0.214285714285714,0.261904761904762,0.30952380952381,0.345238095238095,0.595238095238095,0.642857142857143,0.678571428571429,0.714285714285714,0.75,0.797619047619048,0.869047619047619,0.904761904761905,0.928571428571429
IMF,absolute,rolling window,pcpi_pch,0.5,0.297622612730968,0.129638961302538,0.13950032735258,0.0284833240758498,0.695621899468099,1.22224854845763,0.784879322210468,0.166666666666667,0.226190476190476,0.30952380952381,0.369047619047619,0.428571428571429,0.547619047619048,0.630952380952381,0.761904761904762,0.857142857142857,0.0119047619047619,0.0119047619047619,0.0476190476190476,0.0714285714285714,0.119047619047619,0.119047619047619,0.154761904761905,0.178571428571429,0.19047619047619,0.357142857142857,0.404761904761905,0.464285714285714,0.488095238095238,0.547619047619048,0.619047619047619,0.678571428571429,0.773809523809524,0.869047619047619
IMF,absolute,rolling window,pcpi_pch,1,0.556659011716392,0.179424706765341,0.243989838185047,0.133244466766004,1.06919921147064,1.65799942431144,1.11962188153082,0.154761904761905,0.202380952380952,0.25,0.273809523809524,0.392857142857143,0.452380952380952,0.511904761904762,0.583333333333333,0.654761904761905,0.119047619047619,0.130952380952381,0.142857142857143,0.166666666666667,0.166666666666667,0.214285714285714,0.226190476190476,0.238095238095238,0.25,0.404761904761905,0.440476190476191,0.476190476190476,0.488095238095238,0.55952380952381,0.619047619047619,0.654761904761905,0.714285714285714,0.773809523809524
IMF,absolute,rolling window,pcpi_pch,1.5,0.607761917621788,0.238326322969407,0.24668127810994,0.122754316542441,1.33634147334618,1.95068312735015,1.38064243456298,0.166666666666667,0.238095238095238,0.30952380952381,0.369047619047619,0.416666666666667,0.511904761904762,0.595238095238095,0.642857142857143,0.738095238095238,0.107142857142857,0.107142857142857,0.107142857142857,0.142857142857143,0.154761904761905,0.178571428571429,0.178571428571429,0.19047619047619,0.238095238095238,0.404761904761905,0.428571428571429,0.488095238095238,0.547619047619048,0.571428571428571,0.654761904761905,0.702380952380952,0.75,0.845238095238095
ar,absolute,rolling window,ngdp_rpch,0,0.349183989331753,0.178204981960056,0.0442806337637449,0.126698373607952,0.945526292443716,1.61072546066627,1.0469289639866,0.142857142857143,0.238095238095238,0.321428571428571,0.380952380952381,0.5,0.571428571428571,0.678571428571429,0.821428571428571,0.892857142857143,0.0952380952380952,0.154761904761905,0.238095238095238,0.30952380952381,0.321428571428571,0.380952380952381,0.440476190476191,0.452380952380952,0.464285714285714,0.607142857142857,0.690476190476191,0.761904761904762,0.761904761904762,0.821428571428571,0.880952380952381,0.916666666666667,0.976190476190476,0.988095238095238
ar,absolute,rolling window,ngdp_rpch,0.5,0.658629118989361,0.294140969776828,0.0525682315449979,0.311919917667536,1.62007731617792,2.76670288726115,1.76208961680705,0.142857142857143,0.25,0.357142857142857,0.440476190476191,0.523809523809524,0.583333333333333,0.654761904761905,0.761904761904762,0.80952380952381,0.178571428571429,0.202380952380952,0.297619047619048,0.369047619047619,0.416666666666667,0.488095238095238,0.547619047619048,0.630952380952381,0.678571428571429,0.821428571428571,0.880952380952381,0.904761904761905,0.928571428571429,0.940476190476191,0.952380952380952,0.952380952380952,0.964285714285714,0.988095238095238
ar,absolute,rolling window,ngdp_rpch,1,1.38601184550583,0.484798690570813,0.0129990450552226,0.888214109879798,2.59515935165861,3.8899000541317,2.77604802361254,0.154761904761905,0.202380952380952,0.238095238095238,0.285714285714286,0.380952380952381,0.476190476190476,0.583333333333333,0.702380952380952,0.75,0.25,0.285714285714286,0.404761904761905,0.5,0.55952380952381,0.654761904761905,0.690476190476191,0.714285714285714,0.738095238095238,0.892857142857143,0.916666666666667,0.928571428571429,0.940476190476191,0.940476190476191,0.976190476190476,0.988095238095238,0.988095238095238,1
ar,absolute,rolling window,ngdp_rpch,1.5,1.63979974446309,0.637318209242965,0.0108894614202765,0.991592073799846,3.24042386182497,4.77428936150247,3.5072075846428,0.130952380952381,0.19047619047619,0.273809523809524,0.321428571428571,0.380952380952381,0.488095238095238,0.571428571428571,0.630952380952381,0.726190476190476,0.273809523809524,0.357142857142857,0.416666666666667,0.5,0.607142857142857,0.630952380952381,0.678571428571429,0.726190476190476,0.773809523809524,0.904761904761905,0.916666666666667,0.952380952380952,0.952380952380952,0.988095238095238,0.988095238095238,0.988095238095238,0.988095238095238,1
