model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
IMF,absolute,rolling window,CAN,ngdp_rpch,0,0.330219792497265,0.0796759050337368,0.167298592010747,0.0832452954527813,0.439133255958352,0.692410565087295,0.565771910522824,0.454545454545455,0.727272727272727,0.0909090909090909,0.272727272727273,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,CAN,ngdp_rpch,0.5,0.331123055455866,0.163888782557456,0.118751508618055,0.0484827642803546,0.738549475038991,1.59732485621477,1.16793716562688,0.454545454545455,0.818181818181818,0,0.272727272727273,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,CAN,ngdp_rpch,1,0.971696762519635,0.220350450552326,0.0396662280447836,0.711680083922525,0.977107504819572,2.61627745826342,1.79669248154149,0.363636363636364,0.727272727272727,0.272727272727273,0.545454545454545,0.909090909090909,1
IMF,absolute,rolling window,CAN,ngdp_rpch,1.5,1.03308269860113,0.365300303635136,0.0153202163373514,0.652462178628642,1.72093819750209,3.56444879908098,2.64269349829153,0.454545454545455,0.818181818181818,0.181818181818182,0.454545454545455,0.909090909090909,1
IMF,absolute,rolling window,DEU,ngdp_rpch,0,0.240160444007881,0.100329080584718,0.118137659290085,0.0216937041330781,0.463558530594584,0.971370693276734,0.717464611935659,0.454545454545455,0.818181818181818,0.0909090909090909,0.181818181818182,0.636363636363636,0.909090909090909
IMF,absolute,rolling window,DEU,ngdp_rpch,0.5,0.43853507397114,0.19192470162593,0.183190403928125,0.0634199684170855,0.888499331563998,1.84469095994146,1.36659514575273,0.545454545454545,0.818181818181818,0.0909090909090909,0.181818181818182,0.727272727272727,0.909090909090909
IMF,absolute,rolling window,DEU,ngdp_rpch,1,1.0983674052881,0.361367633815273,0.00492918478760637,0.732070586685223,1.7959802782883,3.34677761502968,2.57137894665899,0.545454545454545,0.636363636363636,0.363636363636364,0.363636363636364,0.909090909090909,1
IMF,absolute,rolling window,DEU,ngdp_rpch,1.5,1.24511255652687,0.4499709920261,0,0.795141564500768,2.34986232587925,3.76277793889668,3.05632013238797,0.545454545454545,0.636363636363636,0.363636363636364,0.454545454545455,1,1
IMF,absolute,rolling window,FRA,ngdp_rpch,0,0.300848290363464,0.0777287180752334,0.223013823006787,0.000105749281443454,0.409235144188233,0.700455285586712,0.554845214887472,0.545454545454545,0.636363636363636,0,0.0909090909090909,0.636363636363636,0.636363636363636
IMF,absolute,rolling window,FRA,ngdp_rpch,0.5,0.323140468911048,0.156397478486799,0.0951323406195459,0.0716106498047028,0.719560364870407,1.48154237262232,1.10055136874636,0.454545454545455,0.636363636363636,0.181818181818182,0.272727272727273,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,FRA,ngdp_rpch,1,1.12565588687617,0.258725961926031,0.0420452692450077,0.82488465570513,1.22690819071816,2.7953153527557,2.01111177173693,0.636363636363636,0.818181818181818,0.181818181818182,0.181818181818182,0.818181818181818,1
IMF,absolute,rolling window,FRA,ngdp_rpch,1.5,1.34127435171353,0.381182923499065,0.143918230011224,0.81617319820324,1.93397024969687,3.53351122697675,2.73374073833681,0.636363636363636,0.727272727272727,0.181818181818182,0.181818181818182,0.818181818181818,0.909090909090909
IMF,absolute,rolling window,GBR,ngdp_rpch,0,0.167271367085803,0.106247058637587,0.0549883510360081,0.00603595741220809,0.541664314068246,0.825639743958565,0.683652029013406,0.545454545454545,0.818181818181818,0,0.181818181818182,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,GBR,ngdp_rpch,0.5,0.637667736150448,0.211714869192188,0.176573135185749,0.249379731772511,1.09169595638234,1.8477479125219,1.46972193445212,0.636363636363636,0.727272727272727,0.0909090909090909,0.0909090909090909,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,GBR,ngdp_rpch,1,1.32078769125791,0.296427033835006,0.0761078407336509,0.948252816689252,1.56012012064177,2.824288806334,2.19220446348789,0.545454545454545,0.818181818181818,0.0909090909090909,0.181818181818182,0.727272727272727,0.909090909090909
IMF,absolute,rolling window,GBR,ngdp_rpch,1.5,1.58859817133504,0.451930757251645,0.229785776862894,0.906881637220498,2.39320112616525,3.95456000903267,3.17388056759896,0.545454545454545,0.818181818181818,0.0909090909090909,0.272727272727273,0.818181818181818,0.909090909090909
IMF,absolute,rolling window,ITA,ngdp_rpch,0,0.324007273144066,0.0780696346733369,0.232235715161628,0.0137019233091004,0.441516845348293,0.654181778175907,0.5478493117621,0.454545454545455,0.636363636363636,0.0909090909090909,0.181818181818182,0.636363636363636,0.727272727272727
IMF,absolute,rolling window,ITA,ngdp_rpch,0.5,0.518703189442523,0.212912943264854,0.265905745317329,0.0398845008603408,1.13216205420951,1.67552067043817,1.40384136232384,0.545454545454545,0.545454545454545,0.181818181818182,0.181818181818182,0.727272727272727,0.727272727272727
IMF,absolute,rolling window,ITA,ngdp_rpch,1,1.22331475398714,0.464473007423401,0.0597123601094554,0.69912938645428,2.30537361008283,4.12645343456362,3.21591352232323,0.727272727272727,0.818181818181818,0.0909090909090909,0.0909090909090909,0.818181818181818,0.909090909090909
IMF,absolute,rolling window,ITA,ngdp_rpch,1.5,1.3333309516489,0.562996170240747,0.0504373731409145,0.719897408267241,2.74427527666766,5.02186368850684,3.88306948258725,0.818181818181818,0.818181818181818,0.0909090909090909,0.0909090909090909,0.909090909090909,0.909090909090909
IMF,absolute,rolling window,JPN,ngdp_rpch,0,0.290970073462186,0.213566052448475,0.0435474568882693,0.0338565641254412,0.821803820047922,2.30271561744397,1.56225971874595,0.5,0.875,0,0.25,0.75,0.875
IMF,absolute,rolling window,JPN,ngdp_rpch,0.5,0.440416528515175,0.403928006659077,0.00699410216504437,0.0294944196910536,1.52898901176255,4.30169825609529,2.91534363392892,0.75,1,0,0.125,0.875,1
IMF,absolute,rolling window,JPN,ngdp_rpch,1,0.939487750292127,0.469241665625158,0.0488228623651653,0.421423222301804,2.20227841918463,4.28552342693398,3.2439009230593,0.625,0.875,0.125,0.25,0.875,1
IMF,absolute,rolling window,JPN,ngdp_rpch,1.5,1.0281148525377,0.605469626325412,0.0577362528236856,0.364908973388604,2.87192534062324,5.30591615606292,4.08892074834308,0.75,0.875,0.125,0.125,0.875,1
IMF,absolute,rolling window,USA,ngdp_rpch,0,0.218168129869874,0.128271467238515,0.0886104778270304,0.00128618480432863,0.589718867760034,1.17617962412214,0.882949245941089,0.545454545454545,0.818181818181818,0,0.0909090909090909,0.636363636363636,0.818181818181818
IMF,absolute,rolling window,USA,ngdp_rpch,0.5,0.522797098647468,0.171764069172298,0.202121591165659,0.148911438309511,0.908602285628466,1.46159685998426,1.18509957280636,0.454545454545455,0.636363636363636,0.181818181818182,0.363636363636364,0.818181818181818,0.818181818181818
IMF,absolute,rolling window,USA,ngdp_rpch,1,1.14200383780444,0.2919531558747,0.206346543314446,0.643704138615291,1.42798635701572,2.98820298356262,2.20809467028917,0.545454545454545,0.636363636363636,0.181818181818182,0.272727272727273,0.818181818181818,0.818181818181818
IMF,absolute,rolling window,USA,ngdp_rpch,1.5,0.825475949856174,0.374187214505518,0.0197030145871146,0.431585720763542,1.47493321840221,4.21953661005146,2.84723491422683,0.636363636363636,0.909090909090909,0.0909090909090909,0.272727272727273,0.909090909090909,1
IMF,absolute,rolling window,CAN,pcpi_pch,0,0.0906535824296885,0.0487287975370098,0.0157507151041409,0.0261740697885378,0.238703225258787,0.420266337358132,0.32948478130846,0.454545454545455,0.636363636363636,0.181818181818182,0.272727272727273,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,CAN,pcpi_pch,0.5,0.347281638245198,0.162538223916429,0.17924039408258,0.00550302024618914,0.806304572551889,1.38536207068235,1.09583332161712,0.636363636363636,0.818181818181818,0,0.0909090909090909,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,CAN,pcpi_pch,1,0.76883975728561,0.211176190782818,0.445004871630395,0.112658694872397,1.17808355421055,1.71878705525888,1.44843530473472,0.545454545454545,0.636363636363636,0.181818181818182,0.272727272727273,0.818181818181818,0.818181818181818
IMF,absolute,rolling window,CAN,pcpi_pch,1.5,0.863521802306008,0.214492775145084,0.556438409780666,0.0925906173802579,1.16886798853822,1.90607395870973,1.53747097362397,0.363636363636364,0.545454545454545,0.181818181818182,0.363636363636364,0.727272727272727,0.727272727272727
IMF,absolute,rolling window,DEU,pcpi_pch,0,0.0948594126841063,0.0505862387301218,0.027448816420484,0.0168243575335005,0.281303614078037,0.34460040059686,0.312952007337448,0.363636363636364,0.727272727272727,0.0909090909090909,0.272727272727273,0.636363636363636,0.818181818181818
IMF,absolute,rolling window,DEU,pcpi_pch,0.5,0.458961025212766,0.092390016651402,0.333103351888631,0.0334676566727336,0.561597144346353,0.718098743611388,0.63984794397887,0.545454545454545,0.545454545454545,0.181818181818182,0.181818181818182,0.727272727272727,0.727272727272727
IMF,absolute,rolling window,DEU,pcpi_pch,1,1.06442924685501,0.337201133496642,0.66807867940962,0.0591494339487433,2.00425596070859,2.29385445626304,2.14905520848581,0.454545454545455,0.636363636363636,0.181818181818182,0.363636363636364,0.818181818181818,0.818181818181818
IMF,absolute,rolling window,DEU,pcpi_pch,1.5,1.26025583332357,0.38590538405922,0.852387724341794,0.0219627249225515,2.24555427483058,2.77893225123069,2.51224326303063,0.545454545454545,0.727272727272727,0,0.181818181818182,0.727272727272727,0.727272727272727
IMF,absolute,rolling window,FRA,pcpi_pch,0,0.0561228900918075,0.0423676263539843,0.0137552637378232,0,0.179800668573064,0.414476231119875,0.297138449846469,0.636363636363636,0.909090909090909,0,0,0.636363636363636,0.909090909090909
IMF,absolute,rolling window,FRA,pcpi_pch,0.5,0.364121045170643,0.124923093790045,0.217360212067138,0.02183773931346,0.635159364504342,1.12208791223775,0.878623638371044,0.454545454545455,0.545454545454545,0.0909090909090909,0.181818181818182,0.636363636363636,0.636363636363636
IMF,absolute,rolling window,FRA,pcpi_pch,1,0.686424178209207,0.255714885516794,0.408223727156108,0.0224855655363053,1.47590507993069,1.76098622114009,1.61844565053539,0.363636363636364,0.727272727272727,0,0.272727272727273,0.636363636363636,0.727272727272727
IMF,absolute,rolling window,FRA,pcpi_pch,1.5,1.02846689638112,0.259577977844659,0.703511239592542,0.0653776789439212,1.51975374949745,1.9918722613491,1.75581300542327,0.363636363636364,0.545454545454545,0.181818181818182,0.272727272727273,0.636363636363636,0.727272727272727
IMF,absolute,rolling window,GBR,pcpi_pch,0,0.0946274152728127,0.0459600799948273,0.0259384588184827,0.0227288764595027,0.232628244746721,0.37669277441872,0.304660509582721,0.727272727272727,0.818181818181818,0.0909090909090909,0.181818181818182,0.909090909090909,0.909090909090909
IMF,absolute,rolling window,GBR,pcpi_pch,0.5,0.340218397778528,0.135950859048131,0.198111492545545,0.00615604618485213,0.701619878394831,1.12796392309546,0.914791900745146,0.454545454545455,0.727272727272727,0,0.272727272727273,0.727272727272727,0.727272727272727
IMF,absolute,rolling window,GBR,pcpi_pch,1,0.98277619809413,0.370892301294495,0.493771996480743,0.118111900318892,1.8255627865498,3.37299860975445,2.59928069815212,0.363636363636364,0.727272727272727,0.181818181818182,0.454545454545455,0.818181818181818,0.909090909090909
IMF,absolute,rolling window,GBR,pcpi_pch,1.5,1.09659872456033,0.394683479217218,0.623412568978981,0.078502676364131,1.99649649601294,3.47178308504472,2.73413979052883,0.272727272727273,0.727272727272727,0.0909090909090909,0.363636363636364,0.636363636363636,0.818181818181818
IMF,absolute,rolling window,ITA,pcpi_pch,0,0.0901210528846892,0.056834759102702,0.00803851923371272,0.0252477745482745,0.245648638602642,0.55658711342542,0.401117876014031,0.545454545454545,0.909090909090909,0.0909090909090909,0.363636363636364,0.909090909090909,1
IMF,absolute,rolling window,ITA,pcpi_pch,0.5,0.58356070860171,0.162931145302688,0.400932232732704,0.0196973305663177,0.798562352131211,1.60866520635239,1.2036137792418,0.545454545454545,0.727272727272727,0,0.181818181818182,0.727272727272727,0.727272727272727
IMF,absolute,rolling window,ITA,pcpi_pch,1,0.926547372528863,0.322136897323692,0.584934242593385,0.0194762326117859,1.78916250698038,2.43969540511987,2.11442895605012,0.454545454545455,0.818181818181818,0,0.272727272727273,0.727272727272727,0.818181818181818
IMF,absolute,rolling window,ITA,pcpi_pch,1.5,1.24870090801422,0.368564014348781,0.851173337817632,0.0289635558478024,2.22117140249952,2.48401878838966,2.35259509544459,0.545454545454545,0.545454545454545,0.181818181818182,0.181818181818182,0.727272727272727,0.727272727272727
IMF,absolute,rolling window,JPN,pcpi_pch,0,0.122980609953042,0.0543654262541237,0.0187392982236794,0.0498758854752391,0.26423133560624,0.488115975936485,0.376173655771363,0.5,0.75,0.125,0.25,0.75,0.875
IMF,absolute,rolling window,JPN,pcpi_pch,0.5,0.174068039493457,0.128508810992603,0,0.0455592285008536,0.647093870374669,0.999740655755815,0.823417263065242,0.75,0.75,0.25,0.25,1,1
IMF,absolute,rolling window,JPN,pcpi_pch,1,0.391571192728706,0.209387311353684,0.00120147021440831,0.180982411160614,1.0572269924612,1.71193992459475,1.38458345852798,0.375,0.75,0.25,0.5,0.875,1
IMF,absolute,rolling window,JPN,pcpi_pch,1.5,0.461070737737169,0.180297328865494,0,0.280773408871675,0.942428478637363,1.49359907233858,1.21801377548797,0.375,0.5,0.5,0.625,1,1
IMF,absolute,rolling window,USA,pcpi_pch,0,0.10765699115779,0.0577004246156023,0.0220999924396322,0.027856574102555,0.258502915203397,0.552307015788069,0.405404965495733,0.727272727272727,0.727272727272727,0.181818181818182,0.181818181818182,0.909090909090909,0.909090909090909
IMF,absolute,rolling window,USA,pcpi_pch,0.5,0.37984285211985,0.176063585295724,0.197291687552841,0.00648757927128501,0.921536524676675,1.37578983777093,1.1486631812238,0.636363636363636,0.818181818181818,0,0.181818181818182,0.818181818181818,0.818181818181818
IMF,absolute,rolling window,USA,pcpi_pch,1,0.835735164768508,0.267630023878573,0.437826757895078,0.130278382994858,0.957276617447118,3.47698474881118,2.21713068312915,0.454545454545455,0.818181818181818,0.0909090909090909,0.272727272727273,0.727272727272727,0.909090909090909
IMF,absolute,rolling window,USA,pcpi_pch,1.5,0.983129017614815,0.338075131076384,0.571269915921547,0.0737839706168836,1.74529681232079,2.95908566902923,2.35219124067501,0.454545454545455,0.727272727272727,0.0909090909090909,0.272727272727273,0.727272727272727,0.818181818181818
ar,absolute,rolling window,CAN,ngdp_rpch,0,0.259165063651396,0.137096774222223,0.0049132011457541,0.117155088283419,0.658028137561801,1.21105625192188,0.934542194741839,0.363636363636364,0.818181818181818,0.181818181818182,0.454545454545455,0.818181818181818,1
ar,absolute,rolling window,CAN,ngdp_rpch,0.5,0.677433658211978,0.189522449237122,0,0.487911208974856,0.938182555551791,1.84105035548998,1.38961645552089,0.454545454545455,0.727272727272727,0.272727272727273,0.545454545454545,1,1
ar,absolute,rolling window,CAN,ngdp_rpch,1,1.16894468349438,0.426470734978383,0,0.742473948515995,1.95608217477324,4.27830676376834,3.11719446927079,0.545454545454545,0.818181818181818,0.181818181818182,0.454545454545455,1,1
ar,absolute,rolling window,CAN,ngdp_rpch,1.5,1.28306594875717,0.45212492144835,0.0666497952187278,0.764291232090097,2.40692431223001,3.71759883413192,3.06226157318096,0.181818181818182,0.636363636363636,0.272727272727273,0.727272727272727,0.909090909090909,0.909090909090909
ar,absolute,rolling window,DEU,ngdp_rpch,0,0.256964461352364,0.179687978824678,0.0124014360868423,0.0648750464408444,0.89739634547091,1.42576316607361,1.16157975577226,0.363636363636364,0.727272727272727,0.181818181818182,0.545454545454545,0.909090909090909,0.909090909090909
