country,target,target_year,true_value
CAN,gdp_growth,2017,3.04737801390693
CAN,gdp_growth,2018,1.87856366208394
CAN,gdp_growth,2019,1.65604085094309
CAN,gdp_growth,2020,-5.3129447501408
CAN,gdp_growth,2021,4.5408872787436
CAN,gdp_growth,2022,3.43798171948653
CAN,gdp_growth,2023,1.24892732179356
DEU,gdp_growth,2017,2.45594890842831
DEU,gdp_growth,2018,1.52236925015754
DEU,gdp_growth,2019,0.55529804105785
DEU,gdp_growth,2020,-4.56020537412051
DEU,gdp_growth,2021,2.62464165025065
DEU,gdp_growth,2022,1.80426632512853
DEU,gdp_growth,2023,-0.263997086928702
FRA,gdp_growth,2017,2.33529539865456
FRA,gdp_growth,2018,1.72488062763387
FRA,gdp_growth,2019,1.50859403441284
FRA,gdp_growth,2020,-7.98819078871232
FRA,gdp_growth,2021,6.76606459469806
FRA,gdp_growth,2022,2.52231337616071
FRA,gdp_growth,2023,1.11950933383722
GBR,gdp_growth,2017,1.6560346560895
GBR,gdp_growth,2018,1.39760759179965
GBR,gdp_growth,2019,1.4626589546002
GBR,gdp_growth,2020,-9.84667051167981
GBR,gdp_growth,2021,7.4412731055332
GBR,gdp_growth,2022,4.10162138348227
GBR,gdp_growth,2023,0.339966149836846
ITA,gdp_growth,2017,1.50231065958828
ITA,gdp_growth,2018,0.85827259991893
ITA,gdp_growth,2019,0.301279492160456
ITA,gdp_growth,2020,-8.87112896375047
ITA,gdp_growth,2021,6.64381519550785
ITA,gdp_growth,2022,3.72168611578712
ITA,gdp_growth,2023,0.697647913385135
JPN,gdp_growth,2017,1.73455711424073
JPN,gdp_growth,2018,0.813910543121343
JPN,gdp_growth,2019,0.671252257857047
JPN,gdp_growth,2020,-4.58550489671646
JPN,gdp_growth,2021,1.65706435844588
JPN,gdp_growth,2022,1.04667399896798
JPN,gdp_growth,2023,1.67901721988308
USA,gdp_growth,2017,2.21697472139168
USA,gdp_growth,2018,2.92714310170588
USA,gdp_growth,2019,2.16103554190437
USA,gdp_growth,2020,-3.40453982427588
USA,gdp_growth,2021,5.67101992417607
USA,gdp_growth,2022,2.0619792144744
USA,gdp_growth,2023,2.88735798065338
CAN,inflation,2017,1.6100759592282
CAN,inflation,2018,2.24252491694275
CAN,inflation,2019,1.94926902411596
CAN,inflation,2020,0.716999632307869
CAN,inflation,2021,3.39519318527535
CAN,inflation,2022,6.79651641755912
CAN,inflation,2023,3.87900159788375
DEU,inflation,2017,1.70180972937142
DEU,inflation,2018,1.92684519921553
DEU,inflation,2019,1.34550696780396
DEU,inflation,2020,0.371424055634884
DEU,inflation,2021,3.21234548460752
DEU,inflation,2022,8.66580212067982
DEU,inflation,2023,6.03018603018661
FRA,inflation,2017,1.16477107512925
FRA,inflation,2018,2.1015891265963
FRA,inflation,2019,1.29986084410552
FRA,inflation,2020,0.524886446654382
FRA,inflation,2021,2.06401364950475
FRA,inflation,2022,5.90425037922173
FRA,inflation,2023,5.66248684672044
GBR,inflation,2017,2.68313137409242
GBR,inflation,2018,2.47805619002151
GBR,inflation,2019,1.79102058670546
GBR,inflation,2020,0.850654028201903
GBR,inflation,2021,2.58822195007149
GBR,inflation,2022,9.06674555470392
GBR,inflation,2023,7.30504518231858
ITA,inflation,2017,1.32577336779818
ITA,inflation,2018,1.2425938117179
ITA,inflation,2019,0.633991709339177
ITA,inflation,2020,-0.145384056215159
ITA,inflation,2021,1.94127638922592
ITA,inflation,2022,8.73601523446799
ITA,inflation,2023,5.90338587273818
JPN,inflation,2017,0.468016672438654
JPN,inflation,2018,0.978850018173216
JPN,inflation,2019,0.477144681289365
JPN,inflation,2020,-0.0267035843209973
JPN,inflation,2021,-0.235059398476534
JPN,inflation,2022,2.49719970271902
JPN,inflation,2023,3.26871320132236
USA,inflation,2017,2.13865884094739
USA,inflation,2018,2.43540102188979
USA,inflation,2019,1.81175136075482
USA,inflation,2020,1.24837385110157
USA,inflation,2021,4.68522973968026
USA,inflation,2022,7.98648196903904
USA,inflation,2023,4.12826962787756
